Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Interaction_Rate,Activity_Level,Payment_Issue,High_Delay,Avg_Monthly_Spend,Customer_Value,Avg_Support_Calls,Support_Intensity,Age_Group,Recent_Activity
30.0,0,39.0,14.0,5.0,18.0,2,0,932.0,17.0,0.4358974358974359,546.0,1,0,23.897435897435898,36348.0,0.1282051282051282,70.0,Young,0
65.0,0,49.0,1.0,10.0,8.0,0,1,557.0,6.0,0.12244897959183673,49.0,0,0,11.36734693877551,27293.0,0.20408163265306123,10.0,Senior,1
55.0,0,14.0,4.0,6.0,18.0,0,2,185.0,3.0,0.21428571428571427,56.0,1,0,13.214285714285714,2590.0,0.42857142857142855,24.0,Senior,1
58.0,1,38.0,21.0,7.0,7.0,2,1,396.0,29.0,0.7631578947368421,798.0,0,0,10.421052631578947,15048.0,0.18421052631578946,147.0,Senior,0
23.0,1,32.0,20.0,5.0,8.0,0,1,617.0,20.0,0.625,640.0,0,0,19.28125,19744.0,0.15625,100.0,Young,0
51.0,1,33.0,25.0,9.0,26.0,1,0,129.0,8.0,0.24242424242424243,825.0,1,0,3.909090909090909,4257.0,0.2727272727272727,225.0,Senior,0
58.0,0,49.0,12.0,3.0,16.0,2,2,821.0,24.0,0.4897959183673469,588.0,1,0,16.755102040816325,40229.0,0.061224489795918366,36.0,Senior,0
55.0,0,37.0,8.0,4.0,15.0,1,0,445.0,30.0,0.8108108108108109,296.0,1,0,12.027027027027026,16465.0,0.10810810810810811,32.0,Senior,0
39.0,1,12.0,5.0,7.0,4.0,2,2,969.0,13.0,1.0833333333333333,60.0,0,0,80.75,11628.0,0.5833333333333334,35.0,Adult,0
64.0,0,3.0,25.0,2.0,11.0,2,2,415.0,29.0,9.666666666666666,75.0,0,0,138.33333333333334,1245.0,0.6666666666666666,50.0,Senior,0
29.0,1,18.0,9.0,0.0,30.0,1,2,930.0,18.0,1.0,162.0,1,0,51.666666666666664,16740.0,0.0,0.0,Young,0
52.0,0,21.0,6.0,3.0,26.0,1,1,830.0,19.0,0.9047619047619048,126.0,1,0,39.523809523809526,17430.0,0.14285714285714285,18.0,Senior,0
22.0,1,41.0,17.0,10.0,25.0,0,2,265.0,23.0,0.5609756097560976,697.0,1,0,6.463414634146342,10865.0,0.24390243902439024,170.0,Young,0
48.0,0,35.0,25.0,1.0,13.0,0,0,518.0,17.0,0.4857142857142857,875.0,0,0,14.8,18130.0,0.02857142857142857,25.0,Adult,0
24.0,1,4.0,9.0,4.0,22.0,2,2,204.0,4.0,1.0,36.0,1,0,51.0,816.0,1.0,36.0,Young,1
49.0,1,56.0,17.0,2.0,30.0,2,2,975.0,17.0,0.30357142857142855,952.0,1,0,17.410714285714285,54600.0,0.03571428571428571,34.0,Adult,0
